objectives,normalizedObjectives,gridIndex
"[33571540.0, 2800169.87, 213.0, 110380.0, 367.0, 154.0]","[0.383155912439438, 0.20806317549431722, 0.6666666666666666, 0.6949644932214332, 0.5833333333333334, 0.6190476190476191]","[19, 10, 33, 34, 29, 30]"
"[33651975.0, 1781115.48, 215.0, 111143.0, 374.0, 159.0]","[0.38614238300561426, 0.0041439772475620655, 1.0, 0.9412524209167205, 0.875, 0.8571428571428571]","[19, 0, 50, 47, 43, 42]"
"[33765394.0, 2540430.08, 214.0, 110992.0, 368.0, 153.0]","[0.3903535162827343, 0.15608760848892847, 0.8333333333333334, 0.8925112976113622, 0.625, 0.5714285714285714]","[19, 7, 41, 44, 31, 28]"
"[33798038.0, 2843393.45, 215.0, 111238.0, 365.0, 151.0]","[0.39156555513599794, 0.21671248593883088, 1.0, 0.9719173660426081, 0.5, 0.47619047619047616]","[19, 10, 50, 48, 25, 23]"
"[34013440.0, 3331798.52, 213.0, 110491.0, 367.0, 154.0]","[0.3995632145242681, 0.31444541488882566, 0.6666666666666666, 0.7307940606843124, 0.5833333333333334, 0.6190476190476191]","[19, 15, 33, 36, 29, 30]"
"[34060707.0, 3049792.43, 214.0, 110700.0, 367.0, 153.0]","[0.4013181906447561, 0.2580142210901294, 0.8333333333333334, 0.7982569399612653, 0.5833333333333334, 0.5714285714285714]","[20, 12, 41, 39, 29, 28]"
"[34062993.0, 3049815.91, 214.0, 110700.0, 367.0, 153.0]","[0.4014030675231583, 0.25801891958593276, 0.8333333333333334, 0.7982569399612653, 0.5833333333333334, 0.5714285714285714]","[20, 12, 41, 39, 29, 28]"
"[34093412.0, 3348739.79, 213.0, 110490.0, 367.0, 154.0]","[0.4025324943666035, 0.31783546965879905, 0.6666666666666666, 0.7304712717882504, 0.5833333333333334, 0.6190476190476191]","[20, 15, 33, 36, 29, 30]"
"[34390263.0, 1925053.57, 215.0, 111133.0, 374.0, 159.0]","[0.4135542731201312, 0.03294689512711636, 1.0, 0.9380245319561007, 0.875, 0.8571428571428571]","[20, 1, 50, 46, 43, 42]"
"[34442699.0, 2256087.08, 215.0, 110944.0, 370.0, 156.0]","[0.41550116900635015, 0.0991887842887039, 1.0, 0.8770174306003874, 0.7083333333333334, 0.7142857142857143]","[20, 4, 50, 43, 35, 35]"
